username,displayname,userId,rawDescription,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location
Nelisyout,𝐰𝐞𝐧𝐬𝐭𝐞𝐫,1379614824007602181,"Jennie, jisso, rose, lisa 😩😩😩",False,2021-04-07T01:59:58+00:00,176,431,4560,1940,0,25,OT4
YoongiSunnie,જSunnie Yoongi.,1383637939368849410,★. 민윤기 𝖑𝖎𝖑 𝖒𝖊𝖔𝖜 𝖒𝖊𝖔𝖜.,False,2021-04-18T04:26:19+00:00,15,18,61,2266,0,1,
BtsOutsold14,💛𝕋𝕒𝕖𝕁𝕚𝕟𝕂𝕠𝕠𝕜⁷︎🏳️‍🌈🄱🅄🅃🅃🄴🅁🧈💛,1372101986942738432,"19,Ot7, Ults:TaeJinKook Stream Film Out, She/Her/Jamacian/Indian, Main Ult: JJK, Pride Month🏳️‍🌈",False,2021-03-17T08:27:19+00:00,52,61,2359,17947,0,242,
_mytinyhobi_,~maja⁷🐝🧈~,1277610509441908736,~We were only seven but we have you all now~ UID:710429442 ✨matching with: @XE0NAE,False,2020-06-29T14:32:19+00:00,4084,4361,21951,62066,72,2540,She/her
xcvsee,lil geuli,804802427778048000,,False,2016-12-02T21:40:26+00:00,5,99,37,1298,0,5,
Missy202010,MissyStayBusy ∞ ⁷ 🇩🇰 🍟 🧈⟭⟬ ⟬⟭💜,1283447790274846720,"ARMY 💜💜💜 Stay Classy, Stay purple. 31|2018 ARMY| BTS & ARMY VS. The World - We only have eachother.",False,2020-07-15T17:06:29+00:00,74,191,43275,33201,0,220,Magic Shop
luisaJi79606704,ARMY jikook_vkokk,1366756681892397063,"BTS, BLACK PINK, K-POP Amo el baile (todo tipo) pintar, adoro la pizza y los memes ""obvio""🐰🐥🍒🦄🦋🌼
(NADIE SE METE CON MI BTS)💜
A.R.M.Y POR SIEMPRE🌈",False,2021-03-02T14:26:33+00:00,1,6,22,563,0,15,
_l0vsjk,(ᗒᗣᗕ),1038474439908884480,"🌐 𝗵𝘁𝘁𝗽𝘀://𝘄𝘄𝘄.thinking.about.jungkook.24/7.𝗰𝗼𝗺
💭 # 𝐁𝐀𝐍𝐆𝐓𝐀𝐍:  君のいない未来は 色のない世 
peruvian % aries % she/ e!la",False,2018-09-08T17:09:35+00:00,55,298,880,3622,0,15,Peru
_DEALwthME,blackpink jennie jisoo rose lisa,1267731692975845377,"FOLLOW LIMIT 😭
#SOOBIN #HYUNJIN #BANGCHAN #YEJI #RYUJIN",False,2020-06-02T08:16:16+00:00,125,55,1057,641,0,79,Tu mente
kiimlili,☽,1319980968648716289,⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀𝐟𝐨𝐫 𝐛𝐚𝐧𝐠𝐭𝐚𝐧⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀,False,2020-10-24T12:37:30+00:00,38,141,169,435,0,11,she/her ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀
l4_lay,LAY,1365973192016297985,"ㅤㅤㅤㅤㅤㅤㅤㅤ★ 𝙨𝙬𝙞𝙩𝙝, 𝙬𝙞𝙯*𝙤𝙣𝙚, 𝙣𝙘𝙩𝙯𝙚𝙣 ﹠ 𝗱𝗲𝗼𝗯𝗶!ㅤ⊹ㅤstᥲrd͟u͟s͟t͟！",False,2021-02-28T10:32:51+00:00,23,55,43,590,0,3,
zickpinks,sopi,1121260095726338051,#BLACKPINK: i came into the house and everyone was like oh pretty girls... let’s hate on them!,False,2019-04-25T03:50:13+00:00,549,856,26968,50072,3,3190,"she/her, minor 🇲🇽 "
Cottoncloudv,ʾ˓𖤣ᴹⁱˡᵃᵍʳᵒˢ.· ☁︎,1324473300148539393,˚｡⋆୨୧˚ᴸᵉᵗ ᵗʰᵉᵐ ᵇᵉ ᵗʰᵉᵐ ᴸᵉᵗ ᵘˢ ᵇᵉ ᵘˢ ᴸᵒᵛᵉ ⁱˢ ᵃ ᵐᵃᶻᵉ ᵈᵃᵐⁿ ᵇᵘᵗ ʸᵒᵘ ⁱˢ ᵃᵐᵃᶻᵉ ʸᵉᵃʰ ִֶָ ˚୨୧⋆｡˚ ⋆,False,2020-11-05T22:07:19+00:00,28,111,314,570,0,229,
camiisoftt,camila;,1282535349659398144,#joelpimentel jajajajajaj no.,False,2020-07-13T04:41:04+00:00,36,89,367,104,0,13,"Barranquilla, Colombia"
Jungkookcovid__,.🖤jungkook covid,1300626760388747264,,False,2020-09-01T02:49:31+00:00,7,7,15,25,0,1,txt disband 
day6xd,Day6xd,1295179457846796289,,False,2020-08-17T02:04:51+00:00,1,10,6,12,0,0,
Jenipher_Mtz,Sam^^,1266856433003270146,"𓍢🥞𝅄 Sam〔Ella/He/They〕
 ⟆࣪ 🥥ֶ֢ 🏳️‍🌈",False,2020-05-30T22:18:27+00:00,1,35,167,495,0,5,
stayforbangtan,🧈ᴮᵘᵗᵗᵉʳApple⁷💛🇵🇪,1285291841559109633,Only ARMY♡ Ot7 ☞ BTS PAVED THE WAY ☞ BTS WORLD DOMINATION ●Stream Film Out●,False,2020-07-20T19:14:01+00:00,172,359,11769,11068,0,264,"Lima, Peru"
_iconicpinks,mira⛅️,1298539862333644800,just downloaded twt for fun lol,False,2020-08-26T08:37:08+00:00,450,518,4547,4407,1,117,she/her 
MaraBP_TW,Mara 🦜 ❤️BLACKPINK❤️🐛🐢,973233245386141699,"❤️BLACKPINK ❤️
💜TWICE💜
Solo quería saber cómo se llamaba la chica de pelo rojo😔
Sigueme y te sigo!! 🥰🦥❤️",False,2018-03-12T16:24:22+00:00,168,186,867,1122,0,47,
kui_yel,Kui Yel~ఌ︎,1376228138770956293,Bolillo con café 𓆉︎,False,2021-03-28T17:42:38+00:00,3,91,79,221,0,20,
Claudiayslabro,Claudia ysla aka supa,720024977412636672,Me gustan los gatos gordos y jugar Valorant. Soy mala pal culo pero me divierto bastante. Síganme o les parto el cuello de una,False,2016-04-12T23:05:06+00:00,69,413,6617,4973,6,18,"San Juan de Lurigancho, Peru"
jnkrubyO_O,fernanda,1338965804080115718,thinking about NEIL PERRY,False,2020-12-15T21:55:08+00:00,174,95,10412,9054,0,3478,🍄 byf
teteco_conda,🌷Giulia⁷🦋,1941983646,"𝘁𝗮𝗲𝗵𝘆𝘂𝗻𝗴&𝗺𝗲 couple profile (っ˘з(˘⌣˘ ) ; ボーイフレンド, 親友 そしてそれは永遠に彼と私になります なぜ私たちはお互いをとても愛しているのですか... B-army/20 anos/Ot7",False,2013-10-06T20:54:33+00:00,1495,844,22137,50000,5,1561,Fan Account
dyaakjb00,' 𝐙𝐨𝐞𝐰𝐨' 💙,1260421001831239681,"𝑶𝑵𝑳𝒀 𝑨𝑹𝑴𝒀'.? °🧸𝙾𝚃𝟽 🤟 @BTS_twt 🖤... 육군... 
                     🤍+ 𝘚𝘛𝘙𝘌𝘈𝘔 𝘉𝘜𝘛𝘛𝘌𝘙 + 🤍 🅹🅹🅺",False,2020-05-13T04:06:34+00:00,841,701,4758,7048,0,71,𝐁 𝐀 𝐍 𝐆 𝐓 𝐀 𝐍 ✨
Taehyun33299513,🇲🇽✨*:.｡*:ﾟ･♡𝙃𝙤𝙨𝙚𝙤𝙠♡･ﾟ:*｡✨.:*ᴮᴱ ᵇᵗˢ ⟭⟬ ♡ ⟬⟭,1282587064576376833,"✨🌱김태형🌱✨
                ₍⁽˚⑅̆˚⁾₎ᴮᴱ¹³₇; ((ﾐ´ω`ﾐ))🧷┆❥.°♡Lᵒᵛᵉᵧₒᵤ♡
   💜ᵇᵗˢ ⟭⟬ ♡ ⟬⟭ ∞ ⁷◴₁₃✨💜
           🍜Cʜᴜᴜʙɪᴄᴏᴏᴋɪᴇ🍜⟭⟬⁷",False,2020-07-13T08:06:14+00:00,29,104,126,3065,0,5,
c0wmin,rose :p,1336947546783100930,film out my song,False,2020-12-10T08:15:19+00:00,137,155,3265,8492,0,431,bh stan/solo stan 💀
733474939u74,.......,1374520880642990081,,False,2021-03-24T00:38:37+00:00,1,13,7,195,0,5,
VelaMajo1,VelaMajo~🌹,1303458797302755336,,False,2020-09-08T22:23:12+00:00,117,445,73,417,0,3,
kiddajitop_19,Ivanna,1112204911792607232,⊹⠀ 🕷️ㅤ𝗸𝗶ㅤִֶָ     魔     ʟ-ʟᴜᴀ    ˒   𓏲୭,False,2019-03-31T04:08:09+00:00,386,657,4531,36433,3,304,˃̵ᴗ˂̵♡  she/he⸝⸝
